Diet	Chick	Time	weight
3	38	21	290
3	39	0	42
3	39	2	50
3	39	4	61
3	39	6	78
3	39	8	89
3	39	10	109
3	39	12	130
3	39	14	146
3	39	16	170
3	39	18	214
3	39	20	250
3	39	21	272
3	40	0	41
3	40	2	55
3	40	4	66
3	40	6	79
3	40	8	101
3	40	10	120
3	40	12	154
3	40	14	182
3	40	16	215
3	40	18	262
3	40	20	295
3	40	21	321
4	41	0	42
4	41	2	51
4	41	4	66
4	41	6	85
4	41	8	103
4	41	10	124
4	41	12	155
4	41	14	153
4	41	16	175
4	41	18	184
4	41	20	199
4	41	21	204
4	42	0	42
4	42	2	49
4	42	4	63
4	42	6	84
4	42	8	103
4	42	10	126
4	42	12	160
4	42	14	174
4	42	16	204
4	42	18	234
4	42	20	269
4	42	21	281
4	43	0	42
4	43	2	55
4	43	4	69
4	43	6	96
4	43	8	131
4	43	10	157
4	43	12	184
4	43	14	188
4	43	16	197
4	43	18	198
4	43	20	199
4	43	21	200
4	44	0	42
4	44	2	51
4	44	4	65
4	44	6	86
4	44	8	103
4	44	10	118
4	44	12	127
4	44	14	138
4	44	16	145
4	44	18	146
4	45	0	41
4	45	2	50
4	45	4	61
4	45	6	78
4	45	8	98
4	45	10	117
4	45	12	135
4	45	14	141
4	45	16	147
4	45	18	174
4	45	20	197
4	45	21	196
4	46	0	40
4	46	2	52
4	46	4	62
4	46	6	82
4	46	8	101
4	46	10	120
4	46	12	144
4	46	14	156
4	46	16	173
4	46	18	210
4	46	20	231
4	46	21	238
4	47	0	41
4	47	2	53
4	47	4	66
4	47	6	79
4	47	8	100
4	47	10	123
4	47	12	148
4	47	14	157
4	47	16	168
4	47	18	185
4	47	20	210
4	47	21	205
4	48	0	39
4	48	2	50
4	48	4	62
4	48	6	80
4	48	8	104
4	48	10	125
4	48	12	154
4	48	14	170
4	48	16	222
4	48	18	261
4	48	20	303
4	48	21	322
4	49	0	40
4	49	2	53
4	49	4	64
4	49	6	85
4	49	8	108
4	49	10	128
4	49	12	152
4	49	14	166
4	49	16	184
4	49	18	203
4	49	20	233
4	49	21	237
4	50	0	41
4	50	2	54
4	50	4	67
4	50	6	84
4	50	8	105
4	50	10	122
4	50	12	155
4	50	14	175
4	50	16	205
4	50	18	234
4	50	20	264
4	50	21	264
